"numcas"                                             ;"nomsa"                                 ;"classref"                                                           ;"classdate" ;"classcatdanger"                                                                                            ;"classcodeh" ;"classmentiondanger"                                                                                       ;"facteurmvaleur" ;"facteurmorigine" ;"facteurmdate"
"74070-46-5"                                         ;"aclonifen"                              ;"Reglement (UE) Ne944/2013 (5e ATP au Reglement 1272/2008)"                      ;02/10/13          ;"Cancerogenicite, categorie 2"                                                                                           ;"H351"              ;"Susceptible de provoquer le cancer"                                                                              ;                   ;""                  ;
"74070-46-5"                                         ;"aclonifen"                              ;"Reglement (UE) Ne944/2013 (5e ATP au Reglement 1272/2008)"                      ;02/10/13          ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;100                ;"UE"                ;
"74070-46-5"                                         ;"aclonifen"                              ;"Reglement (UE) Ne944/2013 (5e ATP au Reglement 1272/2008)"                      ;02/10/13          ;"Sensibilisation cutanee, categorie 1A"                                                                                  ;"H317"              ;"Peut provoquer une allergie cutanee"                                                                             ;                   ;""                  ;
"74070-46-5"                                         ;"aclonifen"                              ;"Reglement (UE) Ne944/2013 (5e ATP au Reglement 1272/2008)"                      ;02/10/13          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;10                 ;"UE"                ;
"101007-06-1"                                        ;"acrinathrine"                           ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;05/12/17          ;"Toxicite specifique pour certains organes cibles - Exposition repetee, categorie 2"                                     ;"H373"              ;"Risque presume d'effets graves pour les organes  la suite d'expositions repetees ou d'une exposition prolongee" ;                   ;""                  ;
"101007-06-1"                                        ;"acrinathrine"                           ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;05/12/17          ;"Toxicite aigue (par inhalation), categorie 4"                                                                           ;"H332"              ;"Nocif par inhalation"                                                                                            ;                   ;""                  ;
"101007-06-1"                                        ;"acrinathrine"                           ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;05/12/17          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;10000              ;"ANSES"             ;21/11/16
"101007-06-1"                                        ;"acrinathrine"                           ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;05/12/17          ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;10000              ;"ANSES"             ;21/11/16
"101007-06-1"                                        ;"acrinathrine"                           ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;05/12/17          ;"Cancerogenicite, categorie 2"                                                                                           ;"H351"              ;"Susceptible de provoquer le cancer"                                                                              ;                   ;""                  ;
"67375-30-8"                                         ;"Alpha-cypermethrine"                    ;"Reglement (UE) Ne790/2009 (1e ATP au Reglement 1272/2008)"                      ;10/08/09          ;"Toxicite aigue (par voie orale), categorie 3"                                                                           ;"H301"              ;"Toxique en cas d'ingestion"                                                                                      ;                   ;""                  ;
"67375-30-8"                                         ;"Alpha-cypermethrine"                    ;"Reglement (UE) Ne790/2009 (1e ATP au Reglement 1272/2008)"                      ;10/08/09          ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;1000               ;"ANSES"             ;19/07/13
"67375-30-8"                                         ;"Alpha-cypermethrine"                    ;"Reglement (UE) Ne790/2009 (1e ATP au Reglement 1272/2008)"                      ;10/08/09          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;1000               ;"ANSES"             ;19/07/13
"67375-30-8"                                         ;"Alpha-cypermethrine"                    ;"Reglement (UE) Ne790/2009 (1e ATP au Reglement 1272/2008)"                      ;10/08/09          ;"Toxicite specifique pour certains organes cibles - Exposition repetee, categorie 2"                                     ;"H373"              ;"Risque presume d'effets graves pour les organes  la suite d'expositions repetees ou d'une exposition prolongee" ;                   ;""                  ;
"67375-30-8"                                         ;"Alpha-cypermethrine"                    ;"Reglement (UE) Ne790/2009 (1e ATP au Reglement 1272/2008)"                      ;10/08/09          ;"Toxicite specifique pour certains organes cibles - Exposition unique - Irritation des voies respiratoires, categorie 3" ;"H335"              ;"Peut irriter les voies respiratoires"                                                                            ;                   ;""                  ;
"865318-97-4"                                        ;"ametoctradine"                          ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;17/01/17          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;1                  ;"ANSES"             ;17/01/17
"120923-37-7"                                        ;"amidosulfuron"                          ;"Reglement (UE) Ne944/2013 (5e ATP au Reglement 1272/2008)"                      ;02/10/13          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;100                ;"UE"                ;02/10/13
"120923-37-7"                                        ;"amidosulfuron"                          ;"Reglement (UE) Ne944/2013 (5e ATP au Reglement 1272/2008)"                      ;02/10/13          ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;100                ;"UE"                ;02/10/13
"150114-71-9"                                        ;"aminopyralide"                          ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;18/02/14          ;"Lesions oculaires graves, categorie 1"                                                                                  ;"H318"              ;"Provoque des lesions oculaires graves"                                                                           ;                   ;""                  ;
"150114-71-9"                                        ;"aminopyralide"                          ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;18/02/14          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;1                  ;"ANSES"             ;18/02/14
"150114-71-9"                                        ;"aminopyralide"                          ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;18/02/14          ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;1                  ;"ANSES"             ;18/02/14
"348635-87-0"                                        ;"amisulbrom"                             ;"Reglement (UE) Ne2018/1480 (13e ATP au Reglement 1272/2008)"                    ;04/10/18          ;"Cancerogenicite, categorie 2"                                                                                           ;"H351"              ;"Susceptible de provoquer le cancer"                                                                              ;                   ;""                  ;
"348635-87-0"                                        ;"amisulbrom"                             ;"Reglement (UE) Ne2018/1480 (13e ATP au Reglement 1272/2008)"                    ;04/10/18          ;"Irritation oculaire, categorie 2"                                                                                       ;"H319"              ;"Provoque une severe irritation des yeux"                                                                         ;                   ;""                  ;
"348635-87-0"                                        ;"amisulbrom"                             ;"Reglement (UE) Ne2018/1480 (13e ATP au Reglement 1272/2008)"                    ;04/10/18          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;10                 ;"UE"                ;04/10/18
"348635-87-0"                                        ;"amisulbrom"                             ;"Reglement (UE) Ne2018/1480 (13e ATP au Reglement 1272/2008)"                    ;04/10/18          ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;10                 ;"UE"                ;04/10/18
"11141-17-6"                                         ;"azadirachtin"                           ;"	Classement adapte par leANSES selon les regles de traduction du reglement CLP" ;24/01/17          ;"Sensibilisation cutanee, categorie 1"                                                                                   ;"H317"              ;"Peut provoquer une allergie cutanee"                                                                             ;                   ;""                  ;
"11141-17-6"                                         ;"azadirachtin"                           ;"	Classement adapte par leANSES selon les regles de traduction du reglement CLP" ;24/01/17          ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;10                 ;"ANSES"             ;
"11141-17-6"                                         ;"azadirachtin"                           ;"	Classement adapte par leANSES selon les regles de traduction du reglement CLP" ;24/01/17          ;"Toxicite pour la reproduction, categorie 2(d)"                                                                          ;"H361d"             ;"Susceptible de nuire au foetus"                                                                                  ;                   ;""                  ;
"11141-17-6"                                         ;"azadirachtin"                           ;"	Classement adapte par leANSES selon les regles de traduction du reglement CLP" ;24/01/17          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;10                 ;"ANSES"             ;
"120162-55-2"                                        ;"azimsulfuron"                           ;"Reglement (UE) Ne790/2009 (1e ATP au Reglement 1272/2008)"                      ;10/08/09          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;                   ;""                  ;
"120162-55-2"                                        ;"azimsulfuron"                           ;"Reglement (UE) Ne790/2009 (1e ATP au Reglement 1272/2008)"                      ;10/08/09          ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;                   ;""                  ;
"131860-33-8"                                        ;"azoxystrobine"                          ;"Reglement (UE) Ne2020/1182 (15e ATP au Reglement 1272/2008)"                    ;19/05/20          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;10                 ;"UE"                ;19/05/20
"131860-33-8"                                        ;"azoxystrobine"                          ;"Reglement (UE) Ne2020/1182 (15e ATP au Reglement 1272/2008)"                    ;19/05/20          ;"Toxicite aigue (par inhalation), categorie 3"                                                                           ;"H331"              ;"Toxique par inhalation"                                                                                          ;                   ;""                  ;
"131860-33-8"                                        ;"azoxystrobine"                          ;"Reglement (UE) Ne2020/1182 (15e ATP au Reglement 1272/2008)"                    ;19/05/20          ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;10                 ;"UE"                ;19/05/20
"113614-08-7"                                        ;"beflubutamid"                           ;"Reglement (UE) Ne790/2009 (1e ATP au Reglement 1272/2008)"                      ;10/08/09          ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;100                ;"ANSES"             ;21/04/15
"113614-08-7"                                        ;"beflubutamid"                           ;"Reglement (UE) Ne790/2009 (1e ATP au Reglement 1272/2008)"                      ;10/08/09          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;10                 ;"ANSES"             ;21/04/15
"71626-11-4"                                         ;"benalaxyl"                              ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;                   ;"ANSES"             ;21/12/12
"71626-11-4"                                         ;"benalaxyl"                              ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;1                  ;"ANSES"             ;21/12/12
"98243-83-5"                                         ;"benalaxyl-M"                            ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;23/04/14          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 2"                                                       ;"H411"              ;"Toxique pour les organismes aquatiques, entraene des effets  long terme"                                        ;                   ;""                  ;
"1861-40-1"                                          ;"benfluraline"                           ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;18/06/08          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;10                 ;"ANSES"             ;21/12/12
"1861-40-1"                                          ;"benfluraline"                           ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;18/06/08          ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;10                 ;"ANSES"             ;21/12/12
"1861-40-1"                                          ;"benfluraline"                           ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;18/06/08          ;"Cancerogenicite, categorie 2"                                                                                           ;"H351"              ;"Susceptible de provoquer le cancer"                                                                              ;                   ;""                  ;
"1861-40-1"                                          ;"benfluraline"                           ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;18/06/08          ;"Sensibilisation cutanee, categorie 1"                                                                                   ;"H317"              ;"Peut provoquer une allergie cutanee"                                                                             ;                   ;""                  ;
"1861-40-1"                                          ;"benfluraline"                           ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;18/06/08          ;"Irritation oculaire, categorie 2"                                                                                       ;"H319"              ;"Provoque une severe irritation des yeux"                                                                         ;                   ;""                  ;
"1861-40-1"                                          ;"benfluraline"                           ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;18/06/08          ;"Irritant pour la peau, categorie 2"                                                                                     ;"H315"              ;"Provoque une irritation cutanee"                                                                                 ;                   ;""                  ;
"98730-04-2"                                         ;"benoxacor"                              ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;                  ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;1                  ;""                  ;
"98730-04-2"                                         ;"benoxacor"                              ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;                  ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;1                  ;""                  ;
"98730-04-2"                                         ;"benoxacor"                              ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;                  ;"Sensibilisation cutanee, categorie 1"                                                                                   ;"H317"              ;"Peut provoquer une allergie cutanee"                                                                             ;                   ;""                  ;
"83055-99-6"                                         ;"bensulfuron-methyle"                    ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 2"                                                       ;"H411"              ;"Toxique pour les organismes aquatiques, entraene des effets  long terme"                                        ;                   ;""                  ;
"83055-99-6"                                         ;"bensulfuron-methyle"                    ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Sensibilisation cutanee, categorie 1"                                                                                   ;"H317"              ;"Peut provoquer une allergie cutanee"                                                                             ;                   ;""                  ;
"25057-89-0"                                         ;"bentazone"                              ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 3"                                                       ;"H412"              ;"Nocif pour les organismes aquatiques, entraine des effets nefastes  long terme"                                 ;                   ;""                  ;
"25057-89-0"                                         ;"bentazone"                              ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Toxicite aigue (par voie orale), categorie 4"                                                                           ;"H302"              ;"Nocif en cas d'ingestion"                                                                                        ;                   ;""                  ;
"25057-89-0"                                         ;"bentazone"                              ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Sensibilisation cutanee, categorie 1"                                                                                   ;"H317"              ;"Peut provoquer une allergie cutanee"                                                                             ;                   ;""                  ;
"25057-89-0"                                         ;"bentazone"                              ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Irritation oculaire, categorie 2"                                                                                       ;"H319"              ;"Provoque une severe irritation des yeux"                                                                         ;                   ;""                  ;
"177406-68-7"                                        ;"benthiavalicarb-isopropyl"              ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;                  ;"Sensibilisation cutanee, categorie 1"                                                                                   ;"H317"              ;"Peut provoquer une allergie cutanee"                                                                             ;                   ;""                  ;
"177406-68-7"                                        ;"benthiavalicarb-isopropyl"              ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;                  ;"Dangers pour le milieu aquatique - Danger chronique, categorie 3"                                                       ;"H412"              ;"Nocif pour les organismes aquatiques, entraine des effets nefastes  long terme"                                 ;                   ;""                  ;
"177406-68-7"                                        ;"benthiavalicarb-isopropyl"              ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;                  ;"Cancerogenicite, categorie 2"                                                                                           ;"H351"              ;"Susceptible de provoquer le cancer"                                                                              ;                   ;""                  ;
