"numcas"                                         ;"nomsa"                                 ;"natureetude"         ;"DL50/CL50" ;"valeur"         ;"unite" ;"espece"  ;"sexe"
"65-85-0"                                            ;"acide benzoique"                        ;"Toxicite aigue inhalation" ;"CL50"      ;"> 1,2"          ;"mg/L"  ;"rat"     ;"MF"
"65-85-0"                                            ;"acide benzoique"                        ;"Toxicite aigue VO"         ;"DL50"      ;"> 2000"         ;"mg/kg" ;"rat"     ;"MF"
"77-06-05"                                           ;"acide gibberellique"                    ;"Toxicite aigue cutanee"    ;"DL50"      ;"> 2000"         ;"mg/kg" ;"rat"     ;"MF"
"77-06-05"                                           ;"acide gibberellique"                    ;"Toxicite aigue inhalation" ;"CL50"      ;"> 4,94"         ;"mg/L"  ;"rat"     ;"MF"
"77-06-05"                                           ;"acide gibberellique"                    ;"Toxicite aigue VO"         ;"DL50"      ;"> 5000"         ;"mg/kg" ;"rat"     ;"MF"
"133-32-4"                                           ;"acide indolyl butyrique"                ;"Toxicite aigue cutanee"    ;"DL50"      ;"> 750"          ;"mg/kg" ;"rat"     ;"MF"
"133-32-4"                                           ;"acide indolyl butyrique"                ;"Toxicite aigue VO"         ;"DL50"      ;"> 5000"         ;"mg/kg" ;"rat"     ;"MF"
"133-32-4"                                           ;"acide indolyl butyrique"                ;"Toxicite aigue VO"         ;"DL50"      ;"1925"           ;"mg/kg" ;"souris"  ;"MF"
"112-05-0"                                           ;"acide pelargonique"                     ;"Toxicite aigue cutanee"    ;"DL50"      ;"> 2000"         ;"mg/kg" ;"rat"     ;""
"112-05-0"                                           ;"acide pelargonique"                     ;"Toxicite aigue inhalation" ;"CL50"      ;"> 1.82"         ;"mg/L"  ;"rat"     ;""
"112-05-0"                                           ;"acide pelargonique"                     ;"Toxicite aigue VO"         ;"DL50"      ;"> 2000"         ;"mg/kg" ;"rat"     ;""
"86-87-3"                                            ;"acide 1-naphthylacetique"               ;"Toxicite aigue cutanee"    ;"DL50"      ;"> 2000"         ;"mg/kg" ;"lapin"   ;"MF"
"86-87-3"                                            ;"acide 1-naphthylacetique"               ;"Toxicite aigue inhalation" ;"CL50"      ;"> 0,45"         ;"mg/L"  ;"rat"     ;"MF"
"86-87-3"                                            ;"acide 1-naphthylacetique"               ;"Toxicite aigue VO"         ;"DL50"      ;"> 2000"         ;"mg/kg" ;"rat"     ;"M"
"86-87-3"                                            ;"acide 1-naphthylacetique"               ;"Toxicite aigue VO"         ;"DL50"      ;"1750"           ;"mg/kg" ;"rat"     ;"F"
"74070-46-5"                                         ;"aclonifen"                              ;"Toxicite aigue cutanee"    ;"DL50"      ;">5000"          ;"mg/kg" ;"rat"     ;"MF"
"74070-46-5"                                         ;"aclonifen"                              ;"Toxicite aigue inhalation" ;"CL50"      ;">5.06"          ;"mg/L"  ;"rat"     ;"MF"
"74070-46-5"                                         ;"aclonifen"                              ;"Toxicite aigue VO"         ;"DL50"      ;">5000"          ;"mg/kg" ;"rat"     ;"MF"
"74070-46-5"                                         ;"aclonifen"                              ;"Toxicite aigue VO"         ;"DL50"      ;">4000"          ;"mg/kg" ;"chien"   ;"MF"
"74070-46-5"                                         ;"aclonifen"                              ;"Toxicite aigue VO"         ;"DL50"      ;">5000"          ;"mg/kg" ;"souris"  ;"MF"
"101007-06-1"                                        ;"acrinathrine"                           ;"Toxicite aigue cutanee"    ;"DL50"      ;"> 2000"         ;"mg/kg" ;"rat"     ;"MF"
"101007-06-1"                                        ;"acrinathrine"                           ;"Toxicite aigue inhalation" ;"CL50"      ;"1,21"           ;"mg/L"  ;"rat"     ;"MF"
"101007-06-1"                                        ;"acrinathrine"                           ;"Toxicite aigue VO"         ;"DL50"      ;"> 2000"         ;"mg/kg" ;"rat"     ;"F"
"101007-06-1"                                        ;"acrinathrine"                           ;"Toxicite aigue VO"         ;"DL50"      ;"> 5000"         ;"mg/kg" ;"rat"     ;"MF"
"67375-30-8"                                         ;"Alpha-cypermethrine"                    ;"Toxicite aigue cutanee"    ;"DL50"      ;"> 2000"         ;"mg/kg" ;"rat"     ;"MF"
"67375-30-8"                                         ;"Alpha-cypermethrine"                    ;"Toxicite aigue inhalation" ;"CL50"      ;"> 0.593"        ;"mg/L"  ;"rat"     ;"MF"
"67375-30-8"                                         ;"Alpha-cypermethrine"                    ;"Toxicite aigue VO"         ;"DL50"      ;"57"             ;"mg/kg" ;"rat"     ;"M"
"67375-30-8"                                         ;"Alpha-cypermethrine"                    ;"Toxicite aigue VO"         ;"DL50"      ;"310"            ;"mg/kg" ;"rat"     ;"M"
"67375-30-8"                                         ;"Alpha-cypermethrine"                    ;"Toxicite aigue VO"         ;"DL50"      ;"430"            ;"mg/kg" ;"rat"     ;"F"
"67375-30-8"                                         ;"Alpha-cypermethrine"                    ;"Toxicite aigue VO"         ;"DL50"      ;"71"             ;"mg/kg" ;"rat"     ;"F"
"865318-97-4"                                        ;"ametoctradine"                          ;"Toxicite aigue cutanee"    ;"DL50"      ;"> 2000"         ;"mg/kg" ;"rat"     ;""
"865318-97-4"                                        ;"ametoctradine"                          ;"Toxicite aigue inhalation" ;"CL50"      ;">5,5"           ;"mg/L"  ;""        ;""
"865318-97-4"                                        ;"ametoctradine"                          ;"Toxicite aigue VO"         ;"DL50"      ;"> 2000"         ;"mg/kg" ;"rat"     ;""
"120923-37-7"                                        ;"amidosulfuron"                          ;"Toxicite aigue cutanee"    ;"DL50"      ;">5000"          ;"mg/kg" ;"rat"     ;"MF"
"120923-37-7"                                        ;"amidosulfuron"                          ;"Toxicite aigue inhalation" ;"CL50"      ;">1.8"           ;"mg/L"  ;"rat"     ;"MF"
"120923-37-7"                                        ;"amidosulfuron"                          ;"Toxicite aigue VO"         ;"DL50"      ;">5000"          ;"mg/kg" ;"rat"     ;"MF"
"120923-37-7"                                        ;"amidosulfuron"                          ;"Toxicite aigue VO"         ;"DL50"      ;"1000 - 2000"    ;"mg/kg" ;"rat"     ;""
"150114-71-9"                                        ;"aminopyralide"                          ;"Toxicite aigue cutanee"    ;"DL50"      ;"> 5000"         ;"mg/kg" ;"rat"     ;"MF"
"150114-71-9"                                        ;"aminopyralide"                          ;"Toxicite aigue inhalation" ;"CL50"      ;"> 5.5"          ;"mg/L"  ;"rat"     ;"MF"
"150114-71-9"                                        ;"aminopyralide"                          ;"Toxicite aigue VO"         ;"DL50"      ;"> 5000"         ;"mg/kg" ;"rat"     ;"MF"
"348635-87-0"                                        ;"amisulbrom"                             ;"Toxicite aigue cutanee"    ;"DL50"      ;">5000"          ;"mg/kg" ;"rat"     ;""
"348635-87-0"                                        ;"amisulbrom"                             ;"Toxicite aigue inhalation" ;"CL50"      ;">2,85"          ;"mg/L"  ;"rat"     ;""
"348635-87-0"                                        ;"amisulbrom"                             ;"Toxicite aigue VO"         ;"DL50"      ;">5000"          ;"mg/kg" ;"rat"     ;""
"11141-17-6"                                         ;"azadirachtin"                           ;"Toxicite aigue cutanee"    ;"DL50"      ;"> 2000"         ;"mg/kg" ;"rat"     ;""
"11141-17-6"                                         ;"azadirachtin"                           ;"Toxicite aigue inhalation" ;"CL50"      ;"> 0,72"         ;"mg/L"  ;"rat"     ;""
"11141-17-6"                                         ;"azadirachtin"                           ;"Toxicite aigue inhalation" ;"CL50"      ;"> 2,45"         ;"mg/L"  ;"rat"     ;""
"11141-17-6"                                         ;"azadirachtin"                           ;"Toxicite aigue VO"         ;"DL50"      ;"> 5000"         ;"mg/kg" ;"souris"  ;""
"11141-17-6"                                         ;"azadirachtin"                           ;"Toxicite aigue VO"         ;"DL50"      ;"> 5000"         ;"mg/kg" ;"rat"     ;""
"120162-55-2"                                        ;"azimsulfuron"                           ;"Toxicite aigue cutanee"    ;"DL50"      ;">2000"          ;"mg/kg" ;"rat"     ;"MF"
"120162-55-2"                                        ;"azimsulfuron"                           ;"Toxicite aigue inhalation" ;"CL50"      ;">5.94"          ;"mg/L"  ;"rat"     ;"MF"
"120162-55-2"                                        ;"azimsulfuron"                           ;"Toxicite aigue VO"         ;"DL50"      ;">5000"          ;"mg/kg" ;"rat"     ;"MF"
"120162-55-2"                                        ;"azimsulfuron"                           ;"Toxicite aigue VO"         ;"DL50"      ;"7161"           ;"mg/kg" ;"souris"  ;""
"131860-33-8"                                        ;"azoxystrobine"                          ;"Toxicite aigue cutanee"    ;"DL50"      ;"> 2000"         ;"mg/kg" ;"rat"     ;"MF"
"131860-33-8"                                        ;"azoxystrobine"                          ;"Toxicite aigue inhalation" ;"CL50"      ;"0,962"          ;"mg/L"  ;"rat"     ;"M"
"131860-33-8"                                        ;"azoxystrobine"                          ;"Toxicite aigue inhalation" ;"CL50"      ;"0,698"          ;"mg/L"  ;"rat"     ;"F"
"131860-33-8"                                        ;"azoxystrobine"                          ;"Toxicite aigue inhalation" ;"CL50"      ;"> 4,7"          ;"mg/L"  ;"rat"     ;"MF"
"131860-33-8"                                        ;"azoxystrobine"                          ;"Toxicite aigue VO"         ;"DL50"      ;"> 5000"         ;"mg/kg" ;"rat"     ;"MF"
"131860-33-8"                                        ;"azoxystrobine"                          ;"Toxicite aigue VO"         ;"DL50"      ;">5000"          ;"mg/kg" ;"souris"  ;"MF"
"113614-08-7"                                        ;"beflubutamid"                           ;"Toxicite aigue cutanee"    ;"DL50"      ;"> 2000"         ;"mg/kg" ;"rat"     ;""
"113614-08-7"                                        ;"beflubutamid"                           ;"Toxicite aigue inhalation" ;"CL50"      ;"> 5"            ;"mg/L"  ;"rat"     ;""
"113614-08-7"                                        ;"beflubutamid"                           ;"Toxicite aigue VO"         ;"DL50"      ;"> 5000"         ;"mg/kg" ;"rat"     ;""
"71626-11-4"                                         ;"benalaxyl"                              ;"Toxicite aigue cutanee"    ;"DL50"      ;">2000"          ;"mg/kg" ;"lapin"   ;"MF"
"71626-11-4"                                         ;"benalaxyl"                              ;"Toxicite aigue inhalation" ;"CL50"      ;">4.2"           ;"mg/L"  ;"rat"     ;"MF"
"71626-11-4"                                         ;"benalaxyl"                              ;"Toxicite aigue VO"         ;"DL50"      ;"4200"           ;"mg/kg" ;"rat"     ;"MF"
"98243-83-5"                                         ;"benalaxyl-M"                            ;"Toxicite aigue cutanee"    ;"DL50"      ;"> 2000"         ;"mg/kg" ;"rat"     ;"MF"
"98243-83-5"                                         ;"benalaxyl-M"                            ;"Toxicite aigue inhalation" ;"CL50"      ;"> 4,204"        ;"mg/L"  ;"rat"     ;""
"98243-83-5"                                         ;"benalaxyl-M"                            ;"Toxicite aigue VO"         ;"DL50"      ;"> 2000"         ;"mg/kg" ;"rat"     ;"MF"
"1861-40-1"                                          ;"benfluraline"                           ;"Toxicite aigue cutanee"    ;"DL50"      ;">5000"          ;"mg/kg" ;"lapin"   ;"MF"
"1861-40-1"                                          ;"benfluraline"                           ;"Toxicite aigue inhalation" ;"CL50"      ;"> 2,16"         ;"mg/L"  ;"rat"     ;"MF"
"1861-40-1"                                          ;"benfluraline"                           ;"Toxicite aigue VO"         ;"DL50"      ;"> 5000"         ;"mg/kg" ;"rat"     ;"MF"
"98730-04-2"                                         ;"benoxacor"                              ;"Toxicite aigue cutanee"    ;"DL50"      ;">2010"          ;"mg/kg" ;"lapin"   ;"MF"
"98730-04-2"                                         ;"benoxacor"                              ;"Toxicite aigue inhalation" ;"CL50"      ;">2.0"           ;"mg/L"  ;"rat"     ;"MF"
"98730-04-2"                                         ;"benoxacor"                              ;"Toxicite aigue VO"         ;"DL50"      ;">5000"          ;"mg/kg" ;"rat"     ;"MF"
"83055-99-6"                                         ;"bensulfuron-methyle"                    ;"Toxicite aigue cutanee"    ;"DL50"      ;">2000"          ;"mg/kg" ;"lapin"   ;"MF"
"83055-99-6"                                         ;"bensulfuron-methyle"                    ;"Toxicite aigue inhalation" ;"CL50"      ;">5"             ;"mg/L"  ;"rat"     ;"MF"
"83055-99-6"                                         ;"bensulfuron-methyle"                    ;"Toxicite aigue VO"         ;"DL50"      ;">5000"          ;"mg/kg" ;"rat"     ;"MF"
"25057-89-0"                                         ;"bentazone"                              ;"Toxicite aigue cutanee"    ;"DL50"      ;">5000"          ;"mg/kg" ;"rat"     ;"MF"
"25057-89-0"                                         ;"bentazone"                              ;"Toxicite aigue inhalation" ;"CL50"      ;">5.1"           ;"mg/L"  ;"rat"     ;"MF"
"25057-89-0"                                         ;"bentazone"                              ;"Toxicite aigue VO"         ;"DL50"      ;"1400 - 1800"    ;"mg/kg" ;"rat"     ;"MF"
"177406-68-7"                                        ;"benthiavalicarb-isopropyl"              ;"Toxicite aigue cutanee"    ;"DL50"      ;"> 2000"         ;"mg/kg" ;"rat"     ;""
"177406-68-7"                                        ;"benthiavalicarb-isopropyl"              ;"Toxicite aigue inhalation" ;"CL50"      ;"> 4,6"          ;"mg/L"  ;"rat"     ;""
"177406-68-7"                                        ;"benthiavalicarb-isopropyl"              ;"Toxicite aigue VO"         ;"DL50"      ;">5000"          ;"mg/kg" ;"rat"     ;""
"1072957-71-1"                                       ;"benzovindiflupyr"                       ;"Toxicite aigue cutanee"    ;"DL50"      ;">2000"          ;"mg/kg" ;"rat"     ;""
"1072957-71-1"                                       ;"benzovindiflupyr"                       ;"Toxicite aigue inhalation" ;"CL50"      ;"0,56"           ;"mg/L"  ;"rat"     ;""
"1072957-71-1"                                       ;"benzovindiflupyr"                       ;"Toxicite aigue VO"         ;"DL50"      ;"55"             ;"mg/kg" ;"rat"     ;"MF"
"68359-37-5"                                         ;"betacyflutrine"                         ;"Toxicite aigue cutanee"    ;"DL50"      ;"> 5000"         ;"mg/kg" ;"rat"     ;""
"68359-37-5"                                         ;"betacyflutrine"                         ;"Toxicite aigue inhalation" ;"CL50"      ;"0,70"           ;"mg/L"  ;"rat"     ;""
"68359-37-5"                                         ;"betacyflutrine"                         ;"Toxicite aigue inhalation" ;"CL50"      ;"0,081"          ;"mg/L"  ;"rat"     ;"MF"
"68359-37-5"                                         ;"betacyflutrine"                         ;"Toxicite aigue VO"         ;"DL50"      ;"14,3"           ;"mg/kg" ;"rat"     ;""
"68359-37-5"                                         ;"betacyflutrine"                         ;"Toxicite aigue VO"         ;"DL50"      ;"77"             ;"mg/kg" ;"rat"     ;""
"149877-41-8"                                        ;"bifenazate"                             ;"Toxicite aigue cutanee"    ;"DL50"      ;">5000"          ;"mg/kg" ;"rat"     ;""
"149877-41-8"                                        ;"bifenazate"                             ;"Toxicite aigue inhalation" ;"CL50"      ;">4.4"           ;"mg/L"  ;"rat"     ;""
"149877-41-8"                                        ;"bifenazate"                             ;"Toxicite aigue VO"         ;"DL50"      ;">5000"          ;"mg/kg" ;"rat"     ;""
"42576-02-3"                                         ;"bifenox"                                ;"Toxicite aigue cutanee"    ;"DL50"      ;"> 2000"         ;"mg/kg" ;"rat"     ;""
"42576-02-3"                                         ;"bifenox"                                ;"Toxicite aigue inhalation" ;"CL50"      ;"> 0.91"         ;"mg/L"  ;"rat"     ;""
"42576-02-3"                                         ;"bifenox"                                ;"Toxicite aigue VO"         ;"DL50"      ;"1780"           ;"mg/kg" ;"souris"  ;"F"
"42576-02-3"                                         ;"bifenox"                                ;"Toxicite aigue VO"         ;"DL50"      ;"1540"           ;"mg/kg" ;"souris"  ;"M"
"42576-02-3"                                         ;"bifenox"                                ;"Toxicite aigue VO"         ;"DL50"      ;"> 5000"         ;"mg/kg" ;"rat"     ;""
"581809-46-3"                                        ;"bixafen"                                ;"Toxicite aigue cutanee"    ;"DL50"      ;">2000"          ;"mg/kg" ;"rat"     ;"MF"
"581809-46-3"                                        ;"bixafen"                                ;"Toxicite aigue inhalation" ;"CL50"      ;">5.383"         ;"mg/L"  ;"rat"     ;"MF"
"581809-46-3"                                        ;"bixafen"                                ;"Toxicite aigue VO"         ;"DL50"      ;">5000"          ;"mg/kg" ;"rat"     ;"F"
"188425-85-6"                                        ;"boscalid"                               ;"Toxicite aigue cutanee"    ;"DL50"      ;">2000"          ;"mg/kg" ;"rat"     ;""
"188425-85-6"                                        ;"boscalid"                               ;"Toxicite aigue inhalation" ;"CL50"      ;">6.7"           ;"mg/L"  ;"rat"     ;""
"188425-85-6"                                        ;"boscalid"                               ;"Toxicite aigue VO"         ;"DL50"      ;">5000"          ;"mg/kg" ;"rat"     ;""
"28772-56-7"                                         ;"bromadiolone"                           ;"Toxicite aigue cutanee"    ;"DL50"      ;"20,62"          ;"mg/kg" ;"rat"     ;"M"
"28772-56-7"                                         ;"bromadiolone"                           ;"Toxicite aigue cutanee"    ;"DL50"      ;"32,08"          ;"mg/kg" ;"rat"     ;"F"
"28772-56-7"                                         ;"bromadiolone"                           ;"Toxicite aigue inhalation" ;"CL50"      ;"0,00033"        ;"mg/L"  ;"rat"     ;"F"
"28772-56-7"                                         ;"bromadiolone"                           ;"Toxicite aigue inhalation" ;"CL50"      ;"0,00046"        ;"mg/L"  ;"rat"     ;"M"
"28772-56-7"                                         ;"bromadiolone"                           ;"Toxicite aigue VO"         ;"DL50"      ;"0,56 - 0,84"    ;"mg/kg" ;"rat"     ;""
"3861-41-4"                                          ;"bromoxynil butyrate"                    ;"Toxicite aigue cutanee"    ;"DL50"      ;">2000"          ;"mg/kg" ;"lapin"   ;"MF"
"3861-41-4"                                          ;"bromoxynil butyrate"                    ;"Toxicite aigue inhalation" ;"CL50"      ;"1,216"          ;"mg/L"  ;"rat"     ;"MF"
"3861-41-4"                                          ;"bromoxynil butyrate"                    ;"Toxicite aigue VO"         ;"DL50"      ;"116"            ;"mg/kg" ;"rat"     ;"MF"
"56634-95-8"                                         ;"bromoxynil heptanoate"                  ;"Toxicite aigue cutanee"    ;"DL50"      ;">2000"          ;"mg/kg" ;"lapin"   ;""
"56634-95-8"                                         ;"bromoxynil heptanoate"                  ;"Toxicite aigue inhalation" ;"CL50"      ;"1,98"           ;"mg/L"  ;"rat"     ;""
"56634-95-8"                                         ;"bromoxynil heptanoate"                  ;"Toxicite aigue inhalation" ;"CL50"      ;"1.48"           ;"mg/L"  ;"rat"     ;"F"
"56634-95-8"                                         ;"bromoxynil heptanoate"                  ;"Toxicite aigue VO"         ;"DL50"      ;"362"            ;"mg/kg" ;"rat"     ;"M"
"56634-95-8"                                         ;"bromoxynil heptanoate"                  ;"Toxicite aigue VO"         ;"DL50"      ;"292"            ;"mg/kg" ;"rat"     ;"F"
"1689-99-2"                                          ;"bromoxynil octanoate"                   ;"Toxicite aigue cutanee"    ;"DL50"      ;">2000"          ;"mg/kg" ;"rat"     ;"MF"
"1689-99-2"                                          ;"bromoxynil octanoate"                   ;"Toxicite aigue inhalation" ;"CL50"      ;"0,72"           ;"mg/L"  ;"rat"     ;"F"
"1689-99-2"                                          ;"bromoxynil octanoate"                   ;"Toxicite aigue inhalation" ;"CL50"      ;"0,81"           ;"mg/L"  ;"rat"     ;"M"
"1689-99-2"                                          ;"bromoxynil octanoate"                   ;"Toxicite aigue VO"         ;"DL50"      ;"141"            ;"mg/kg" ;"rat"     ;"F"
"1689-84-5"                                          ;"bromoxynil phenol"                      ;"Toxicite aigue cutanee"    ;"DL50"      ;">2000"          ;"mg/kg" ;"lapin"   ;"MF"
"1689-84-5"                                          ;"bromoxynil phenol"                      ;"Toxicite aigue inhalation" ;"CL50"      ;"0,27"           ;"mg/L"  ;"rat"     ;"M"
"1689-84-5"                                          ;"bromoxynil phenol"                      ;"Toxicite aigue inhalation" ;"CL50"      ;"0.15"           ;"mg/L"  ;"rat"     ;"F"
"1689-84-5"                                          ;"bromoxynil phenol"                      ;"Toxicite aigue VO"         ;"DL50"      ;"130"            ;"mg/kg" ;"rat"     ;"MF"
"116255-48-2"                                        ;"bromuconazole"                          ;"Toxicite aigue cutanee"    ;"DL50"      ;">2000"          ;"mg/kg" ;"rat"     ;"MF"
"116255-48-2"                                        ;"bromuconazole"                          ;"Toxicite aigue inhalation" ;"CL50"      ;">5.05"          ;"mg/L"  ;"rat"     ;"MF"
"116255-48-2"                                        ;"bromuconazole"                          ;"Toxicite aigue VO"         ;"DL50"      ;"985"            ;"mg/kg" ;"souris"  ;"F"
"116255-48-2"                                        ;"bromuconazole"                          ;"Toxicite aigue VO"         ;"DL50"      ;"403"            ;"mg/kg" ;"rat"     ;"M"
"116255-48-2"                                        ;"bromuconazole"                          ;"Toxicite aigue VO"         ;"DL50"      ;"1151"           ;"mg/kg" ;"souris"  ;"M"
"116255-48-2"                                        ;"bromuconazole"                          ;"Toxicite aigue VO"         ;"DL50"      ;"328"            ;"mg/kg" ;"rat"     ;"F"
"41483-43-6"                                         ;"bupirimate"                             ;"Toxicite aigue cutanee"    ;"DL50"      ;"> 2000"         ;"mg/kg" ;"rat"     ;"F"
"41483-43-6"                                         ;"bupirimate"                             ;"Toxicite aigue cutanee"    ;"DL50"      ;"> 2000"         ;"mg/kg" ;"lapin"   ;"MF"
"41483-43-6"                                         ;"bupirimate"                             ;"Toxicite aigue inhalation" ;"CL50"      ;"> 1,34"         ;"mg/L"  ;"rat"     ;"MF"
"41483-43-6"                                         ;"bupirimate"                             ;"Toxicite aigue VO"         ;"DL50"      ;">4000"          ;"mg/kg" ;"souris"  ;"F"
"41483-43-6"                                         ;"bupirimate"                             ;"Toxicite aigue VO"         ;"DL50"      ;"2000 - 4000"    ;"mg/kg" ;"lapin"   ;"F"
"41483-43-6"                                         ;"bupirimate"                             ;"Toxicite aigue VO"         ;"DL50"      ;"4000"           ;"mg/kg" ;"cobaye"  ;"M"
"41483-43-6"                                         ;"bupirimate"                             ;"Toxicite aigue VO"         ;"DL50"      ;"4000"           ;"mg/kg" ;"rat"     ;"F"
"133-06-2"                                           ;"captane"                                ;"Toxicite aigue cutanee"    ;"DL50"      ;">2000"          ;"mg/kg" ;"lapin"   ;"MF"
"133-06-2"                                           ;"captane"                                ;"Toxicite aigue cutanee"    ;"DL50"      ;">2000"          ;"mg/kg" ;"rat"     ;""
"133-06-2"                                           ;"captane"                                ;"Toxicite aigue inhalation" ;"CL50"      ;"0.67"           ;"mg/L"  ;"rat"     ;""
"133-06-2"                                           ;"captane"                                ;"Toxicite aigue VO"         ;"DL50"      ;">2000"          ;"mg/kg" ;"rat"     ;""
"133-06-2"                                           ;"captane"                                ;"Toxicite aigue VO"         ;"DL50"      ;">2000"          ;"mg/kg" ;"souris"  ;""
"16118-49-3"                                         ;"carbetamide"                            ;"Toxicite aigue cutanee"    ;"DL50"      ;">2000"          ;"mg/kg" ;"rat"     ;""
"16118-49-3"                                         ;"carbetamide"                            ;"Toxicite aigue VO"         ;"DL50"      ;"1718"           ;"mg/kg" ;"souris"  ;"MF"
"16118-49-3"                                         ;"carbetamide"                            ;"Toxicite aigue VO"         ;"DL50"      ;">2000"          ;"mg/kg" ;"rat"     ;"MF"
"5234-68-4"                                          ;"carboxine"                              ;"Toxicite aigue cutanee"    ;"DL50"      ;"> 4000"         ;"mg/kg" ;"lapin"   ;"MF"
"5234-68-4"                                          ;"carboxine"                              ;"Toxicite aigue inhalation" ;"CL50"      ;"> 4,7"          ;"mg/L"  ;"rat"     ;"MF"
"5234-68-4"                                          ;"carboxine"                              ;"Toxicite aigue VO"         ;"DL50"      ;"2588"           ;"mg/kg" ;"rat"     ;"M"
"5234-68-4"                                          ;"carboxine"                              ;"Toxicite aigue VO"         ;"DL50"      ;"3080"           ;"mg/kg" ;"rat"     ;"F"
"128639-02-1"                                        ;"carfentrazone ethyle"                   ;"Toxicite aigue cutanee"    ;"DL50"      ;">4000"          ;"mg/kg" ;"rat"     ;"MF"
"128639-02-1"                                        ;"carfentrazone ethyle"                   ;"Toxicite aigue inhalation" ;"CL50"      ;">5.09"          ;"mg/L"  ;"rat"     ;"MF"
"128639-02-1"                                        ;"carfentrazone ethyle"                   ;"Toxicite aigue VO"         ;"DL50"      ;">5000"          ;"mg/kg" ;"rat"     ;"F"
"500008-45-7"                                        ;"chlorantraniliprole"                    ;"Toxicite aigue cutanee"    ;"DL50"      ;"> 5000"         ;"mg/kg" ;"rat"     ;"MF"
"500008-45-7"                                        ;"chlorantraniliprole"                    ;"Toxicite aigue inhalation" ;"CL50"      ;"> 5,1"          ;"mg/L"  ;"rat"     ;"MF"
"500008-45-7"                                        ;"chlorantraniliprole"                    ;"Toxicite aigue VO"         ;"DL50"      ;"> 5000"         ;"mg/kg" ;"rat"     ;"F"
"1698-60-8"                                          ;"chloridazone"                           ;"Toxicite aigue cutanee"    ;"DL50"      ;"> 2000"         ;"mg/kg" ;"rat"     ;"MF"
"1698-60-8"                                          ;"chloridazone"                           ;"Toxicite aigue inhalation" ;"CL50"      ;"> 5.4"          ;"mg/L"  ;"rat"     ;"MF"
"1698-60-8"                                          ;"chloridazone"                           ;"Toxicite aigue VO"         ;"DL50"      ;"2140"           ;"mg/kg" ;"rat"     ;"F"
